order,pit,id,clutch,site,urb.cat,treat,cross.over,urban.index,enclo,tub,mass ,svl,type,measure,b.temp
2,9.00E+14,7129,CG003,CG,u,N,uN,0.369364169,N3,N3.1,53.1,111,concrete,4.25,24.5
3,9.00E+14,7129,CG003,CG,u,N,uN,0.369364169,N3,N3.1,53.1,111,concrete,4.25,24.5
1,9.00E+14,7197,CG001,CG,u,N,uN,0.369364169,N3,N3.1,44.9,104,concrete,3.55,25
2,9.00E+14,7197,CG001,CG,u,N,uN,0.369364169,N3,N3.1,44.9,104,concrete,3.35,24.5
3,9.00E+14,7197,CG001,CG,u,N,uN,0.369364169,N3,N3.1,44.9,104,concrete,3.65,24
1,9.00E+14,7257,LN007,LN,n,N,nN,91.15343572,N3,N3.2,52,110,concrete,3.9,25
2,9.00E+14,7257,LN007,LN,n,N,nN,91.15343572,N3,N3.2,52,110,concrete,3.9,25
3,9.00E+14,7257,LN007,LN,n,N,nN,91.15343572,N3,N3.2,52,110,concrete,3.75,25
1,9.00E+14,7293,LN008,LN,n,N,nN,91.15343572,N3,N3.2,42.4,105,concrete,3.35,24.5
2,9.00E+14,7293,LN008,LN,n,N,nN,91.15343572,N3,N3.2,42.4,105,concrete,3.25,25
3,9.00E+14,7293,LN008,LN,n,N,nN,91.15343572,N3,N3.2,42.4,105,concrete,3.1,26
1,9.00E+14,7300,LN009,LN,n,N,nN,91.15343572,N3,N3.2,33,98,concrete,2.7,24.5
2,9.00E+14,7300,LN009,LN,n,N,nN,91.15343572,N3,N3.2,33,98,concrete,2.65,25
3,9.00E+14,7300,LN009,LN,n,N,nN,91.15343572,N3,N3.2,33,98,concrete,2.65,25.5
1,9.00E+14,10234,GR007,GR,n,N,nN,100,N3,N3.3,31.7,94,concrete,2.75,26
2,9.00E+14,10234,GR007,GR,n,N,nN,100,N3,N3.3,31.7,94,concrete,2.2,26
3,9.00E+14,10234,GR007,GR,n,N,nN,100,N3,N3.3,31.7,94,concrete,2.3,26.5
1,9.00E+14,7103,LN001,LN,n,U,nU,91.15343572,U1,U1.1,33.9,95,concrete,2.8,24
2,9.00E+14,7103,LN001,LN,n,U,nU,91.15343572,U1,U1.1,33.9,95,concrete,2.75,25
3,9.00E+14,7103,LN001,LN,n,U,nU,91.15343572,U1,U1.1,33.9,95,concrete,3.05,25.5
1,9.00E+14,7105,TZ011,TZ,u,U,uU,60.15863793,U1,U1.1,37.7,98,concrete,3,25
2,9.00E+14,7105,TZ011,TZ,u,U,uU,60.15863793,U1,U1.1,37.7,98,concrete,2.85,26
3,9.00E+14,7105,TZ011,TZ,u,U,uU,60.15863793,U1,U1.1,37.7,98,concrete,2.25,25.5
1,9.00E+14,7193,CG003,CG,u,U,uU,0.369364169,U1,U1.1,31.9,95,concrete,1.9,24.5
2,9.00E+14,7193,CG003,CG,u,U,uU,0.369364169,U1,U1.1,31.9,95,concrete,1.95,24.5
3,9.00E+14,7193,CG003,CG,u,U,uU,0.369364169,U1,U1.1,31.9,95,concrete,2.1,25
1,9.00E+14,7006,TZ009,TZ,u,U,uU,59.13762436,U1,U1.2,30.8,91,concrete,2.05,25
2,9.00E+14,7006,TZ009,TZ,u,U,uU,59.13762436,U1,U1.2,30.8,91,concrete,2.6,26
3,9.00E+14,7006,TZ009,TZ,u,U,uU,59.13762436,U1,U1.2,30.8,91,concrete,3.05,26.5
1,9.00E+14,7074,LN009,LN,n,U,nU,91.15343572,U1,U1.2,24.1,91,concrete,3,25
2,9.00E+14,7074,LN009,LN,n,U,nU,91.15343572,U1,U1.2,24.1,91,concrete,2.9,26
3,9.00E+14,7074,LN009,LN,n,U,nU,91.15343572,U1,U1.2,24.1,91,concrete,2.4,26.5
1,9.00E+14,7122,LN014,LN,n,U,nU,90.31310792,U1,U1.2,33,98,concrete,3,24.5
2,9.00E+14,7122,LN014,LN,n,U,nU,90.31310792,U1,U1.2,33,98,concrete,2.2,25.5
3,9.00E+14,7122,LN014,LN,n,U,nU,90.31310792,U1,U1.2,33,98,concrete,3.8,26.5
1,9.00E+14,7214,LN006,LN,n,U,nU,91.15343572,U1,U1.2,75.7,128,concrete,4.45,25.5
2,9.00E+14,7214,LN006,LN,n,U,nU,91.15343572,U1,U1.2,75.7,128,concrete,3.9,25
3,9.00E+14,7214,LN006,LN,n,U,nU,91.15343572,U1,U1.2,75.7,128,concrete,3.4,25
1,9.00E+14,7112,MB004,MB,u,U,uU,37.3077438,U2,U2.1,26.6,91,concrete,1.9,28
2,9.00E+14,7112,MB004,MB,u,U,uU,37.3077438,U2,U2.1,26.6,91,concrete,2.65,27
3,9.00E+14,7112,MB004,MB,u,U,uU,37.3077438,U2,U2.1,26.6,91,concrete,2.9,26.5
1,9.00E+14,7124,CG001,CG,u,U,uU,0.369364169,U2,U2.1,20.9,88,concrete,1.85,25
2,9.00E+14,7124,CG001,CG,u,U,uU,0.369364169,U2,U2.1,20.9,88,concrete,2.8,25.5
3,9.00E+14,7124,CG001,CG,u,U,uU,0.369364169,U2,U2.1,20.9,88,concrete,2.55,26
1,9.00E+14,7154,TZ007,TZ,u,U,uU,59.13762436,U2,U2.1,27.4,91,concrete,2.65,25.5
2,9.00E+14,7154,TZ007,TZ,u,U,uU,59.13762436,U2,U2.1,27.4,91,concrete,2.35,26.5
3,9.00E+14,7154,TZ007,TZ,u,U,uU,59.13762436,U2,U2.1,27.4,91,concrete,2.35,27.5
1,9.00E+14,7190,LN001,LN,n,U,nU,91.15343572,U2,U2.1,50.5,115,concrete,2.9,26.5
2,9.00E+14,7190,LN001,LN,n,U,nU,91.15343572,U2,U2.1,50.5,115,concrete,3.25,26.5
3,9.00E+14,7190,LN001,LN,n,U,nU,91.15343572,U2,U2.1,50.5,115,concrete,2.3,26.5
1,9.00E+14,7194,TZ011,TZ,u,U,uU,60.15863793,U2,U2.1,33.1,92,concrete,2.75,25.5
2,9.00E+14,7194,TZ011,TZ,u,U,uU,60.15863793,U2,U2.1,33.1,92,concrete,3.3,26.5
3,9.00E+14,7194,TZ011,TZ,u,U,uU,60.15863793,U2,U2.1,33.1,92,concrete,3.55,27
1,9.00E+14,7226,LN017,LN,n,U,nU,90.31310792,U2,U2.2,31,94,concrete,3.1,26
2,9.00E+14,7226,LN017,LN,n,U,nU,90.31310792,U2,U2.2,31,94,concrete,2.9,26
3,9.00E+14,7226,LN017,LN,n,U,nU,90.31310792,U2,U2.2,31,94,concrete,3.2,26.5
1,9.00E+14,7283,LN008,LN,n,U,nU,91.15343572,U2,U2.2,38.3,102,concrete,2.7,25.5
2,9.00E+14,7283,LN008,LN,n,U,nU,91.15343572,U2,U2.2,38.3,102,concrete,2.8,26
3,9.00E+14,7283,LN008,LN,n,U,nU,91.15343572,U2,U2.2,38.3,102,concrete,2.7,26
1,9.00E+14,7245,CG005,CG,u,U,uU,0.369364169,U2,U2.3,35.2,93,concrete,2.3,25
2,9.00E+14,7245,CG005,CG,u,U,uU,0.369364169,U2,U2.3,35.2,93,concrete,4.2,25
3,9.00E+14,7245,CG005,CG,u,U,uU,0.369364169,U2,U2.3,35.2,93,concrete,3.6,25
1,9.00E+14,7291,TZ009,TZ,u,U,uU,59.13762436,U2,U2.3,29.8,91,concrete,3.4,26
2,9.00E+14,7291,TZ009,TZ,u,U,uU,59.13762436,U2,U2.3,29.8,91,concrete,2.8,26
3,9.00E+14,7291,TZ009,TZ,u,U,uU,59.13762436,U2,U2.3,29.8,91,concrete,2.3,26.5
1,9.00E+14,10645,BW003,BW,n,U,nU,48.65329374,U2,U2.3,35,95,concrete,2.7,26
2,9.00E+14,10645,BW003,BW,n,U,nU,48.65329374,U2,U2.3,35,95,concrete,2.15,26.5
3,9.00E+14,10645,BW003,BW,n,U,nU,48.65329374,U2,U2.3,35,95,concrete,2.2,27
1,9.00E+14,7104,MB004,MB,u,U,uU,37.3077438,U3,U3.1,38.4,99,concrete,3.8,22
2,9.00E+14,7104,MB004,MB,u,U,uU,37.3077438,U3,U3.1,38.4,99,concrete,3.6,22
3,9.00E+14,7104,MB004,MB,u,U,uU,37.3077438,U3,U3.1,38.4,99,concrete,3,22
1,9.00E+14,7166,CG001,CG,u,U,uU,0.369364169,U3,U3.1,32.7,95,concrete,2.3,23
2,9.00E+14,7166,CG001,CG,u,U,uU,0.369364169,U3,U3.1,32.7,95,concrete,2,23
3,9.00E+14,7166,CG001,CG,u,U,uU,0.369364169,U3,U3.1,32.7,95,concrete,1.9,23
1,9.00E+14,7176,LN014,LN,n,U,nU,90.31310792,U3,U3.1,29.1,96,concrete,2.6,25
2,9.00E+14,7176,LN014,LN,n,U,nU,90.31310792,U3,U3.1,29.1,96,concrete,3,25
3,9.00E+14,7176,LN014,LN,n,U,nU,90.31310792,U3,U3.1,29.1,96,concrete,2.5,25
1,9.00E+14,7095,MB003,MB,u,U,uU,32.06530564,U3,U3.2,27.7,92,concrete,2.05,25
2,9.00E+14,7095,MB003,MB,u,U,uU,32.06530564,U3,U3.2,27.7,92,concrete,1.75,25
3,9.00E+14,7095,MB003,MB,u,U,uU,32.06530564,U3,U3.2,27.7,92,concrete,1.75,24.5
1,9.00E+14,7217,LN009,LN,n,U,nU,91.15343572,U3,U3.2,26.6,90,concrete,1.8,25
2,9.00E+14,7217,LN009,LN,n,U,nU,91.15343572,U3,U3.2,26.6,90,concrete,1.8,24
3,9.00E+14,7217,LN009,LN,n,U,nU,91.15343572,U3,U3.2,26.6,90,concrete,1.85,23.5
1,9.00E+14,7237,LN008,LN,n,U,nU,91.15343572,U3,U3.2,40.6,104,concrete,2.65,25
2,9.00E+14,7237,LN008,LN,n,U,nU,91.15343572,U3,U3.2,40.6,104,concrete,2.4,25.5
3,9.00E+14,7237,LN008,LN,n,U,nU,91.15343572,U3,U3.2,40.6,104,concrete,2.8,26
1,9.00E+14,7251,LN007,LN,n,U,nU,91.15343572,U3,U3.2,32.3,98,concrete,2.25,25
2,9.00E+14,7251,LN007,LN,n,U,nU,91.15343572,U3,U3.2,32.3,98,concrete,2.2,25.5
3,9.00E+14,7251,LN007,LN,n,U,nU,91.15343572,U3,U3.2,32.3,98,concrete,3.2,26
1,9.00E+14,7270,LN017,LN,n,U,nU,90.31310792,U3,U3.2,26.3,88,concrete,2.25,25
2,9.00E+14,7270,LN017,LN,n,U,nU,90.31310792,U3,U3.2,26.3,88,concrete,2.3,25
3,9.00E+14,7270,LN017,LN,n,U,nU,90.31310792,U3,U3.2,26.3,88,concrete,2.05,25
1,9.00E+14,7005,CG005,CG,u,U,uU,0.369364169,U3,U3.3,30.9,94,concrete,2.25,25.5
2,9.00E+14,7005,CG005,CG,u,U,uU,0.369364169,U3,U3.3,30.9,94,concrete,2.55,26
3,9.00E+14,7005,CG005,CG,u,U,uU,0.369364169,U3,U3.3,30.9,94,concrete,2.1,26.5
1,9.00E+14,10246,GR007,GR,n,U,nU,100,U3,U3.3,23.4,84,concrete,1.5,24.5
2,9.00E+14,10246,GR007,GR,n,U,nU,100,U3,U3.3,23.4,84,concrete,1.6,25
3,9.00E+14,10246,GR007,GR,n,U,nU,100,U3,U3.3,23.4,84,concrete,1.4,26
1,9.00E+14,10566,BW002,BW,n,U,nU,48.65329374,U3,U3.3,24.8,97,concrete,2.1,25.5
2,9.00E+14,10566,BW002,BW,n,U,nU,48.65329374,U3,U3.3,24.8,97,concrete,2.25,25
3,9.00E+14,10566,BW002,BW,n,U,nU,48.65329374,U3,U3.3,24.8,97,concrete,1.95,24.5
1,9.00E+14,10568,TZ003,TZ,u,U,uU,59.13762436,U3,U3.3,25.2,82,concrete,1.5,24.5
2,9.00E+14,10568,TZ003,TZ,u,U,uU,59.13762436,U3,U3.3,25.2,82,concrete,1.35,24
3,9.00E+14,10568,TZ003,TZ,u,U,uU,59.13762436,U3,U3.3,25.2,82,concrete,1.5,23.5
1,9.00E+14,10592,BW003,BW,n,U,nU,48.65329374,U3,U3.3,38.3,108,concrete,2.8,24.5
2,9.00E+14,10592,BW003,BW,n,U,nU,48.65329374,U3,U3.3,38.3,108,concrete,2.7,25
3,9.00E+14,10592,BW003,BW,n,U,nU,48.65329374,U3,U3.3,38.3,108,concrete,2.9,26
