dataset,id,mom_id,origin_site,urb_cat,sex,age,round,treat,x_treat,enclo,svl,forearm,hindlimb,foot
cross_foster,7193,CG003,CG,u,J,249,4,U,uU,U1,73,21.17,36.84,26.77
cross_foster,7193,CG003,CG,u,J,323,5,U,uU,U1,81,24.79,40.05,27.84
cross_foster,7193,CG003,CG,u,J,382,6,U,uU,U1,85,24.38,40.89,30.48
cross_foster,7197,CG001,CG,u,J,13,1,N,uN,N3,49,14.65,26.19,19.99
cross_foster,7197,CG001,CG,u,J,68,2,N,uN,N3,70,21.19,34.96,26.98
cross_foster,7197,CG001,CG,u,J,129,3,N,uN,N3,77,22.46,38.36,27.66
cross_foster,7197,CG001,CG,u,J,243,4,N,uN,N3,75,22.99,35.75,28.4
cross_foster,7197,CG001,CG,u,J,317,5,N,uN,N3,89,26.15,43.77,33.57
cross_foster,7197,CG001,CG,u,J,376,6,N,uN,N3,92,27.71,45.54,32.48
cross_foster,7238,CG005,CG,u,J,3,1,N,uN,N3,48,14.78,24.21,20.28
cross_foster,7238,CG005,CG,u,J,58,2,N,uN,N3,68,20.37,34.15,26.22
cross_foster,7238,CG005,CG,u,J,119,3,N,uN,N3,75,21.85,37.24,29.49
cross_foster,7238,CG005,CG,u,J,233,4,N,uN,N3,73.5,21.33,36.3,28.11
cross_foster,7238,CG005,CG,u,J,307,5,N,uN,N3,86,25.42,41.1,33.88
cross_foster,7238,CG005,CG,u,J,366,6,N,uN,N3,92,27.47,45.15,32.62
cross_foster,7245,CG005,CG,u,J,4,1,U,uU,U2,47,13.96,21.26,21
cross_foster,7245,CG005,CG,u,J,59,2,U,uU,U2,73,22.28,35.2,28.61
cross_foster,7245,CG005,CG,u,J,120,3,U,uU,U2,78,22.57,38.45,29.03
cross_foster,7245,CG005,CG,u,J,234,4,U,uU,U2,78,21.81,37.56,29.47
cross_foster,7245,CG005,CG,u,J,308,5,U,uU,U2,88,25.81,42.59,32
cross_foster,7245,CG005,CG,u,J,367,6,U,uU,U2,90,27.31,43.39,32.72
cross_foster,7250,CG005,CG,u,J,4,1,N,uN,N2,47,15.69,24.43,19.64
cross_foster,7250,CG005,CG,u,J,59,2,N,uN,N2,67,20.16,33.05,26.42
cross_foster,7250,CG005,CG,u,J,120,3,N,uN,N2,73,20.87,34.26,27.02
cross_foster,7250,CG005,CG,u,J,234,4,N,uN,N2,71,21.17,35.38,26.85
cross_foster,7250,CG005,CG,u,J,308,5,N,uN,N2,86,26.84,40.92,33.05
cross_foster,7250,CG005,CG,u,J,367,6,N,uN,N2,89,26.63,45.78,33.16
cross_foster,10576,CG005,CG,u,J,3,1,U,uU,U1,47,14.46,23.01,18.83
cross_foster,10576,CG005,CG,u,J,58,2,U,uU,U1,67,18.91,32.74,25.06
cross_foster,10576,CG005,CG,u,J,119,3,U,uU,U1,73,19.98,33.85,27.52
cross_foster,10576,CG005,CG,u,J,233,4,U,uU,U1,75,20.9,35.1,26.7
cross_foster,10576,CG005,CG,u,J,307,5,U,uU,U1,83,25.3,40.38,30.49
cross_foster,10641,CG005,CG,u,J,2,1,N,uN,N1,42,13.13,20.34,17.77
cross_foster,10641,CG005,CG,u,J,57,2,N,uN,N1,63,19.06,29.02,24.02
cross_foster,10641,CG005,CG,u,J,118,3,N,uN,N1,69,20.28,33.01,27.39
cross_foster,10641,CG005,CG,u,J,232,4,N,uN,N1,70,20.11,31.39,25.92
cross_foster,10641,CG005,CG,u,J,306,5,N,uN,N1,84,25.14,39.06,30.38
cross_foster,10641,CG005,CG,u,J,365,6,N,uN,N1,87,25.12,39.36,31.36
cross_foster,10234,GR007,GR,n,J,0,1,N,nN,N3,47,13.52,22.49,19.54
cross_foster,10234,GR007,GR,n,J,46,2,N,nN,N3,62,17.17,28.28,25.06
cross_foster,10234,GR007,GR,n,J,107,3,N,nN,N3,67,17.23,32.53,26.78
cross_foster,10234,GR007,GR,n,J,221,4,N,nN,N3,65,18.88,32.15,25.97
cross_foster,10234,GR007,GR,n,J,295,5,N,nN,N3,73,21.46,36.16,28.84
cross_foster,10234,GR007,GR,n,J,354,6,N,nN,N3,78,23.47,37.54,31.28
cross_foster,10246,GR007,GR,n,J,0,1,U,nU,U3,47,14.95,22.79,20.83
cross_foster,10246,GR007,GR,n,J,46,2,U,nU,U3,58,17.06,30.06,24.02
cross_foster,10246,GR007,GR,n,J,107,3,U,nU,U3,61,18.36,30.44,24.26
cross_foster,10246,GR007,GR,n,J,221,4,U,nU,U3,61,19.55,31.24,25.14
cross_foster,10246,GR007,GR,n,J,295,5,U,nU,U3,71,20.16,35.08,27.14
cross_foster,10246,GR007,GR,n,J,354,6,U,nU,U3,75,21.71,36.55,28.78
cross_foster,7013,LN001,LN,n,J,18,1,N,nN,N1,53,15.2,26.84,22.05
cross_foster,7013,LN001,LN,n,J,73,2,N,nN,N1,72,22.33,36.53,27.36
cross_foster,7013,LN001,LN,n,J,134,3,N,nN,N1,78,23.25,38.99,35.57
cross_foster,7013,LN001,LN,n,J,248,4,N,nN,N1,77,23.91,40.05,29.49
cross_foster,7013,LN001,LN,n,J,322,5,N,nN,N1,89,26.11,44.76,34.1
cross_foster,7013,LN001,LN,n,J,381,6,N,nN,N1,93,27.67,47.65,35.7
cross_foster,7074,LN009,LN,n,J,11,1,U,nU,U1,49.5,15.69,23.88,19.76
cross_foster,7074,LN009,LN,n,J,66,2,U,nU,U1,71,21.7,34.57,24.88
cross_foster,7074,LN009,LN,n,J,127,3,U,nU,U1,74,21.31,36.62,26.86
cross_foster,7074,LN009,LN,n,J,241,4,U,nU,U1,72,22.2,37.25,28.13
cross_foster,7074,LN009,LN,n,J,315,5,U,nU,U1,81,24.83,40.04,27.9
cross_foster,7074,LN009,LN,n,J,374,6,U,nU,U1,83,24.27,40.63,30.79
cross_foster,7103,LN001,LN,n,J,19,1,U,nU,U1,50,17.19,26.77,20.76
cross_foster,7103,LN001,LN,n,J,74,2,U,nU,U1,70,21.09,33.82,26.97
cross_foster,7103,LN001,LN,n,J,135,3,U,nU,U1,78,22.68,38.08,30
cross_foster,7103,LN001,LN,n,J,249,4,U,nU,U1,70.7,24.44,39.59,29.69
cross_foster,7103,LN001,LN,n,J,323,5,U,nU,U1,84,25.04,40.53,31.12
cross_foster,7103,LN001,LN,n,J,382,6,U,nU,U1,89,26.95,45.29,32.55
cross_foster,7110,LN004,LN,n,J,12,1,U,nU,U2,52,16.99,25.19,20.4
cross_foster,7110,LN004,LN,n,J,67,2,U,nU,U2,77,22.19,36.81,28.28
cross_foster,7110,LN004,LN,n,J,128,3,U,nU,U2,79,23.15,37.37,28.35
cross_foster,7110,LN004,LN,n,J,242,4,U,nU,U2,78,22.29,38.8,28.73
cross_foster,7110,LN004,LN,n,J,316,5,U,nU,U2,87,25.55,41.89,31.23
cross_foster,7110,LN004,LN,n,J,375,6,U,nU,U2,87,25.08,41.05,32.12
cross_foster,7116,LN017,LN,n,J,10,1,N,nN,N1,49,15.98,24.86,19.76
cross_foster,7116,LN017,LN,n,J,65,2,N,nN,N1,67,19.51,31.85,24.91
cross_foster,7116,LN017,LN,n,J,126,3,N,nN,N1,70.5,20.29,34.04,28.47
cross_foster,7122,LN014,LN,n,J,13,1,U,nU,U1,55,17.05,27.71,21.73
cross_foster,7122,LN014,LN,n,J,68,2,U,nU,U1,77,23.35,36.61,28.24
cross_foster,7122,LN014,LN,n,J,129,3,U,nU,U1,83.5,24.42,40.68,30.09
cross_foster,7122,LN014,LN,n,J,243,4,U,nU,U1,83,23.62,40.16,30.94
cross_foster,7122,LN014,LN,n,J,317,5,U,nU,U1,88,25.97,42.81,32.73
cross_foster,7122,LN014,LN,n,J,376,6,U,nU,U1,93,26.99,44.35,33.82
cross_foster,7126,LN017,LN,n,J,10,1,U,nU,U1,48.5,15.14,24.46,19.28
cross_foster,7126,LN017,LN,n,J,65,2,U,nU,U1,65,19.99,30.45,25.36
cross_foster,7126,LN017,LN,n,J,126,3,U,nU,U1,71,21.35,34.63,26.68
cross_foster,7126,LN017,LN,n,J,240,4,U,nU,U1,70,20.27,34.93,27.31
cross_foster,7127,LN014,LN,n,J,13,1,N,nN,N3,53.5,16.35,25.78,20.07
cross_foster,7127,LN014,LN,n,J,68,2,N,nN,N3,79,22.4,37.64,29.6
cross_foster,7134,LN017,LN,n,J,10,1,N,nN,N2,51,15.37,24.98,20.36
cross_foster,7134,LN017,LN,n,J,65,2,N,nN,N2,69,19.86,33.65,25.43
cross_foster,7134,LN017,LN,n,J,126,3,N,nN,N2,72.5,20.6,33.78,27.77
cross_foster,7134,LN017,LN,n,J,314,5,N,nN,N2,78,24.41,37.86,28.26
cross_foster,7134,LN017,LN,n,J,373,6,N,nN,N2,84,24.05,39.52,29.64
cross_foster,7136,LN004,LN,n,J,12,1,N,nN,N2,50,15.69,25.99,19.45
cross_foster,7136,LN004,LN,n,J,67,2,N,nN,N2,67,20.43,33.98,25.34
cross_foster,7136,LN004,LN,n,J,128,3,N,nN,N2,70,21.14,35.12,27.68
cross_foster,7136,LN004,LN,n,J,242,4,N,nN,N2,70,21.15,35.68,27.32
cross_foster,7136,LN004,LN,n,J,375,6,N,nN,N2,82,24.75,40.44,31.69
cross_foster,7159,LN001,LN,n,J,18,1,N,nN,N2,52,15.39,27.57,19.82
cross_foster,7159,LN001,LN,n,J,73,2,N,nN,N2,67,20.58,33.4,25.56
cross_foster,7159,LN001,LN,n,J,134,3,N,nN,N2,71,20.78,35.67,26.91
cross_foster,7159,LN001,LN,n,J,248,4,N,nN,N2,71,22,35.92,26.69
cross_foster,7159,LN001,LN,n,J,322,5,N,nN,N2,78,24.58,38.78,29.02
cross_foster,7159,LN001,LN,n,J,381,6,N,nN,N2,87,26.94,42.24,31.36
cross_foster,7176,LN014,LN,n,J,13,1,U,nU,U3,53,16.12,27.27,20.52
cross_foster,7176,LN014,LN,n,J,68,2,U,nU,U3,76,21.4,38.11,29.18
cross_foster,7176,LN014,LN,n,J,129,3,U,nU,U3,82,24.12,38.55,30.33
cross_foster,7176,LN014,LN,n,J,243,4,U,nU,U3,81,24.48,40.86,29.9
cross_foster,7176,LN014,LN,n,J,317,5,U,nU,U3,88,26.37,42.25,32.47
cross_foster,7176,LN014,LN,n,J,376,6,U,nU,U3,90,25.24,42.17,32.43
